id_transaksi,id_warung,tanggal,kategori,nominal,rolling_mean_7d,rasio_vs_baseline,anomaly_score,is_anomaly,catatan
9C593A62-09F,WRG-001,2025-01-11,HPP,403243.0,403243.0,1.0,0.047521735102054374,0,Beli detergen & sabun
EC030B74-8FE,WRG-001,2025-01-11,HPP,730329.0,566786.0,1.2885445300342633,0.06495030536981672,0,Belanja ke pasar induk
80AC6AB6-47E,WRG-001,2025-01-12,HPP,989753.0,707775.0,1.3984006216664902,0.03704923408481908,0,Restok snack & biskuit 1 dus
DAF55C25-F8B,WRG-001,2025-01-12,HPP,173786.0,574277.75,0.3026166345466109,0.0027868882347532598,0,Beli minyak goreng 1 karton
B46C52D6-650,WRG-001,2025-02-11,HPP,1313627.0,722147.6,1.819056104319948,0.10040100598824103,0,Restok rokok ke agen
3757B399-804,WRG-001,2025-03-10,HPP,572411.0,697191.5,0.8210240658413076,0.0437335644720489,0,Restok telur 1 peti
DC6138C3-D97,WRG-001,2025-03-10,HPP,175099.0,622606.8571428572,0.28123525783755304,0.08156949748085429,0,Restok minuman botol
FFDC4327-696,WRG-001,2025-03-10,HPP,1053639.0,715520.5714285715,1.4725488575350931,0.11616510955566073,0,Restok minuman botol
583927CF-23D,WRG-001,2025-03-11,HPP,877239.0,736507.7142857143,1.1910791740325093,0.15729147908388608,0,
0FF7E900-F51,WRG-001,2025-03-11,HPP,669952.0,690821.8571428572,0.9697898134995728,0.15625405715675056,0,Beli aqua 1 karton
1DD6F768-F2C,WRG-001,2025-03-12,HPP,1377046.0,862716.1428571428,1.5961750703302013,0.11613786648296509,0,Beli minyak goreng 1 karton
14D39B95-DE6,WRG-001,2025-04-10,HPP,1183926.0,844187.4285714285,1.4024444808465013,0.12636039309405178,0,Restok gula & tepung
6CC83276-006,WRG-001,2025-04-10,HPP,1327891.0,952113.1428571428,1.394677733378626,0.10653750178128701,0,Beli minyak goreng 1 karton
B9BD354C-22C,WRG-001,2025-04-10,HPP,768865.0,1036936.8571428572,0.7414771639215392,0.13008068906577092,0,Restok gula & tepung
0027425C-3E7,WRG-001,2025-04-11,HPP,354296.0,937030.7142857143,0.37810500189428153,0.09603324269164498,0,Ambil indomie 2 dus ke distributor
6F1E867D-832,WRG-001,2025-04-11,HPP,1386953.0,1009847.0,1.3734288461519417,0.09708776906254674,0,Beli aqua 1 karton
D26AC381-C73,WRG-001,2025-06-10,HPP,732168.0,1018735.0,0.7187030974689198,0.12419629746610028,0,Restok gula & tepung
AAF5DDA6-22E,WRG-001,2025-06-10,HPP,327935.0,868862.0,0.3774304780275809,0.10264024085250428,0,Restok telur 1 peti
8B4EDEA5-5C7,WRG-001,2025-06-11,HPP,418537.0,759520.7142857143,0.5510540952047767,0.1444049135794015,0,
131C10F2-911,WRG-001,2025-07-10,HPP,396732.0,626498.0,0.6332534182072409,0.08825339757987227,0,
9B6579B7-B59,WRG-001,2025-07-12,HPP,1068195.0,669259.4285714285,1.5960850970454337,0.11385676435175446,0,Restok telur 1 peti
F6804B21-46F,WRG-001,2025-07-12,HPP,829208.0,737104.0,1.1249538735375197,0.13786984577382383,0,Beli minyak goreng 1 karton
A2C7D03D-B69,WRG-001,2025-07-12,HPP,1113158.0,697990.4285714285,1.5948041039449377,0.10209676024504077,0,Beli aqua 1 karton
1D2B34F7-D4F,WRG-001,2025-09-11,HPP,399806.0,650510.1428571428,0.614603791178396,0.08639168957276344,0,Restok telur 1 peti
9E27BD6E-53F,WRG-001,2025-09-11,HPP,687055.0,701813.0,0.9789716063965758,0.14808396550383696,0,Beli minyak goreng 1 karton
B1786AD0-8FF,WRG-001,2025-10-11,HPP,98583.0,656105.2857142857,0.1502548480350606,0.04627284269619458,0,Restok snack & biskuit 1 dus
83E2391D-F2B,WRG-001,2025-11-11,HPP,380053.0,653722.5714285715,0.5813674127382126,0.11802620290121946,0,Restok beras ke agen
7A6D61FB-719,WRG-001,2025-12-12,HPP,557825.0,580812.5714285715,0.9604217047643596,0.11606827473180908,0,Beli gas LPG 3kg isi 10
C815C95F-356,WRG-001,2026-01-01,HPP,947355.0,597690.7142857143,1.5850254610901242,0.0944497839990262,0,Restok minuman botol
CFF84074-06E,WRG-001,2026-01-01,HPP,293050.0,480532.4285714286,0.6098443779771664,0.0808328311658918,0,Beli detergen & sabun
2FC65C21-045,WRG-001,2026-01-03,HPP,261490.0,460773.0,0.567502870176855,0.05745203620926731,0,Beli gas LPG 3kg isi 10
C4E4D637-2BD,WRG-001,2026-02-01,HPP,534994.0,439050.0,1.2185263637398929,0.022312593222637123,0,Beli minyak goreng 1 karton
2DB8B76F-9AC,WRG-001,2026-02-01,HPP,1271920.0,606669.5714285715,2.096561390090675,0.03166523468831184,0,Beli aqua 1 karton
18A9C89E-2E6,WRG-001,2026-02-02,HPP,920733.0,683909.5714285715,1.3462788626817204,0.11530883658777158,0,Beli aqua 1 karton
932544F8-FCA,WRG-001,2026-02-03,HPP,991006.0,745792.5714285715,1.3287957509441537,0.1564162127431764,0,Beli aqua 1 karton
B8F20E3C-978,WRG-001,2026-03-02,HPP,722266.0,713637.0,1.0120915815743858,0.1043594656231594,0,Restok rokok ke agen
7F45D594-A4A,WRG-001,2026-03-02,HPP,260257.0,708952.2857142857,0.3671008687669088,0.10651134566983028,0,Beli aqua 1 karton
7E0DC079-3FF,WRG-001,2026-03-02,HPP,877705.0,796983.0,1.1012844690539196,0.13397290147512642,0,Beli detergen & sabun
ADDAE904-CA0,WRG-001,2026-05-01,HPP,1370452.0,916334.1428571428,1.495581072344321,0.09658255261458265,0,Ambil indomie 2 dus ke distributor
6A3FA725-1E0,WRG-001,2026-05-02,HPP,1364073.0,929498.8571428572,1.4675359625432567,0.11051918615529716,0,Restok beras ke agen
D9E56995-372,WRG-001,2026-05-02,HPP,839108.0,917838.1428571428,0.9142221932376188,0.1308404294075911,0,Restok telur 1 peti
F888FB22-586,WRG-001,2026-05-02,HPP,450346.0,840601.0,0.5357428792019043,0.11619486720301653,0,Belanja ke pasar induk
047170EB-EE0,WRG-001,2026-05-03,HPP,714481.0,839488.8571428572,0.851090510518135,0.09284227128454303,0,Restok minuman botol
25CC202A-79F,WRG-001,2026-05-04,HPP,1272012.0,984025.2857142857,1.2926619045939152,0.07364928518078628,0,Restok beras ke agen
28422393-7DD,WRG-001,2026-05-04,HPP,301587.0,901722.7142857143,0.33445647450380295,0.08219432910516555,0,Beli minyak goreng 1 karton
